10,8,12033.900391
10,11,12432.791016
10,14,12665.883789
10,17,12811.260742
15,5,9955.411133
15,8,10796.882813
15,11,11495.004883
15,14,11963.377930
15,17,12275.000977
20,5,12542.970703
20,8,9762.900391
20,11,10579.859375
20,14,11208.363281
20,17,11662.299805
25,5,15175.372070
25,8,9045.559570
25,11,9790.344727
25,14,10521.511719
25,17,11043.591797
30,5,15875.079102
30,8,8732.139648
30,11,9179.547852
30,14,9963.346680
30,17,10530.002930
35,5,17511.152344
35,8,14451.663086
35,11,8922.529297
35,14,9368.960938
35,17,10466.767578
